id,prospect_id,first_name,last_name,position_group_abbreviation,stars,url,prospect_url,height,weight,verified_height,verified_weight,committed_college_name,committed_college_logo,hometown,full_name,highschool_name,recruiters_string,previous_commit_data,height_feet,height_inches,images,announcement_date,can_forecast,going_pro,city,highschool,sport,state,state_abbreviation,home_info_line,position,rivals_rating,sport_school_id,school_name,commit_date,big_commit_logo,position_abbreviation,school_commits_url,recruit_year,profile_image_url,profile_shareable_image_url,status,spotlight_video_remote,spotlight_video_provider,ordinality
256369,256369,William,Watson,QB,3,https://n.rivals.com/content/prospects/2023/william-watson-256369,https://n.rivals.com/content/prospects/2023/william-watson-256369,72.0,185,True,True,Nebraska,https://s.yimg.com/xe/i/us/sp/v/ncaaf/teams/20131113/84/300x300/nnd.png,"Springfield, MA",William Watson,Springfield Central,M. Whipple,,6,0,"['https://images.rivals.com/image/upload/f_auto,q_auto/yn01avozojcl8bgagwo1', 'https://images.rivals.com/image/upload/f_auto,q_auto/ecrmixjnig4l573dx36q', 'https://images.rivals.com/image/upload/f_auto,q_auto/fkbrra18xmw67ammtyno']",,False,,Springfield,Springfield Central,Football,Massachusetts,MA,"Springfield, MA",Dual Threat Quarterback,5.7,23.0,Nebraska,2/22/2022,https://s.yimg.com/xe/i/us/sp/v/ncaaf/teams/20131113/84/300x300/nnd.png,DUAL,https://nebraska.rivals.com/commitments/football/2023,2023,"https://images.rivals.com/image/upload/f_auto,q_auto,t_new_profile/oxaf1pyi898mohlloctq","https://images.rivals.com/image/upload/f_auto,q_auto,t_profile_shareable_card/oxaf1pyi898mohlloctq",verbal,video/3/13395501/61b105a302b2b003fccb81d8,hudl,6
274009,274009,LaNorris,Sellers,QB,3,https://n.rivals.com/content/prospects/2023/lanorris-sellers-274009,https://n.rivals.com/content/prospects/2023/lanorris-sellers-274009,74.0,215,,,Syracuse,https://s.yimg.com/xe/i/us/sp/v/ncaaf/teams/20131113/84/300x300/ssw.png,"Florence, SC",LaNorris Sellers,South Florence,,,6,2,"['https://images.rivals.com/image/upload/f_auto,q_auto/op6aazsaolpsnjavejnf', 'https://images.rivals.com/image/upload/f_auto,q_auto/wo3rjnw0dbd0cjys075u', 'https://images.rivals.com/image/upload/f_auto,q_auto/zwewqxw1i04tbpe6ypbz']",,False,,Florence,South Florence,Football,South Carolina,SC,"Florence, SC",Dual Threat Quarterback,5.6,14.0,Syracuse,3/6/2022,https://s.yimg.com/xe/i/us/sp/v/ncaaf/teams/20131113/84/300x300/ssw.png,DUAL,https://syracuse.rivals.com/commitments/football/2023,2023,"https://images.rivals.com/image/upload/f_auto,q_auto,t_new_profile/rldezfjp1cgf1dz5a22k","https://images.rivals.com/image/upload/f_auto,q_auto,t_profile_shareable_card/rldezfjp1cgf1dz5a22k",verbal,video/3/12832781/5fcab4b83453630a0c1d0cd4,hudl,10
234623,234623,Malachi,Singleton,QB,3,https://n.rivals.com/content/prospects/2023/malachi-singleton-234623,https://n.rivals.com/content/prospects/2023/malachi-singleton-234623,73.0,217,True,True,Arkansas,https://s.yimg.com/dh/ap/default/160115/arkansas_razorbacks_300.png,"Kennesaw, GA",Malachi Singleton,North Cobb,K. Briles,,6,1,"['https://images.rivals.com/image/upload/f_auto,q_auto/z7yjzjqlxg25mrafnsm3', 'https://images.rivals.com/image/upload/f_auto,q_auto/wuza1c4wdhmotduoa5rr', 'https://images.rivals.com/image/upload/f_auto,q_auto/l8udg2elomw4biqx9vnd']",,False,,Kennesaw,North Cobb,Football,Georgia,GA,"Kennesaw, GA",Dual Threat Quarterback,5.7,74.0,Arkansas,4/25/2022,https://s.yimg.com/dh/ap/default/160115/arkansas_razorbacks_300.png,DUAL,https://arkansas.rivals.com/commitments/football/2023,2023,"https://images.rivals.com/image/upload/f_auto,q_auto,t_new_profile/njmej37fcx0f2rhalqfq","https://images.rivals.com/image/upload/f_auto,q_auto,t_profile_shareable_card/njmej37fcx0f2rhalqfq",verbal,video/3/12977312/61959b710c5e15092c220714,hudl,5
282295,282295,Marcus,Stokes,QB,3,https://n.rivals.com/content/prospects/2023/marcus-stokes-282295,https://n.rivals.com/content/prospects/2023/marcus-stokes-282295,73.0,170,,,Florida,https://sp.yimg.com/j/assets/ipt/florida_300.png,"Ponte Vedra , FL",Marcus Stokes,Nease,,,6,1,"['https://images.rivals.com/image/upload/f_auto,q_auto/sttwstao5muoolpqcryi', 'https://images.rivals.com/image/upload/f_auto,q_auto/upu2d7eec4e6lxtpht0d', 'https://images.rivals.com/image/upload/f_auto,q_auto/vts9hgthm3jdxdkolsos']",,False,,Ponte Vedra ,Nease,Football,Florida,FL,"Ponte Vedra , FL",Dual Threat Quarterback,5.6,67.0,Florida,7/7/2022,https://sp.yimg.com/j/assets/ipt/florida_300.png,DUAL,https://Florida.rivals.com/commitments/football/2023,2023,"https://images.rivals.com/image/upload/f_auto,q_auto,t_new_profile/tvd8oa4dzyfbnbks9qvu","https://images.rivals.com/image/upload/f_auto,q_auto,t_profile_shareable_card/tvd8oa4dzyfbnbks9qvu",verbal,video/3/11252702/61491e759a912117fc926bd9,hudl,9
258229,258229,Anthony,Hill,LB,5,https://n.rivals.com/content/prospects/2023/anthony-hill-258229,https://n.rivals.com/content/prospects/2023/anthony-hill-258229,74.0,228,True,True,Texas Au0026M,https://s.yimg.com/cv/ae/default/170616/Texas-AM-Aggies_300.png,"Denton, TX",Anthony Hill,Ryan,,,6,2,"['https://images.rivals.com/image/upload/f_auto,q_auto/psvrth2hzi2fedqhgxl4', 'https://images.rivals.com/image/upload/f_auto,q_auto/vvraz9guvts2epwlud0j', 'https://images.rivals.com/image/upload/f_auto,q_auto/jymzshiyvbapvvo4zsri']",,False,,Denton,Ryan,Football,Texas,TX,"Denton, TX",Inside Linebacker,6.1,84.0,Texas Au0026M,7/30/2022,https://s.yimg.com/cv/ae/default/170616/Texas-AM-Aggies_300.png,ILB,https://tamu.rivals.com/commitments/football/2023,2023,"https://images.rivals.com/image/upload/f_auto,q_auto,t_new_profile/v5r0yrk4j1afbwef052c","https://images.rivals.com/image/upload/f_auto,q_auto,t_profile_shareable_card/v5r0yrk4j1afbwef052c",verbal,video/3/13145431/6151010c64df48094c741138,hudl,1
269632,269632,Christian,Brathwaite,LB,3,https://n.rivals.com/content/prospects/2023/christian-brathwaite-269632,https://n.rivals.com/content/prospects/2023/christian-brathwaite-269632,75.0,220,,,Baylor,https://sp.yimg.com/j/assets/ipt/BU_300.png,"Cypress, TX",Christian Brathwaite,Cypress Ranch,,,6,3,"['https://images.rivals.com/image/upload/f_auto,q_auto/xhe3kdqnk7gqtkpwubah', 'https://images.rivals.com/image/upload/f_auto,q_auto/ismipcjzkyvctls2fk6y']",,False,,Cypress,Cypress Ranch,Football,Texas,TX,"Cypress, TX",Inside Linebacker,5.7,79.0,Baylor,1/30/2022,https://sp.yimg.com/j/assets/ipt/BU_300.png,ILB,https://Baylor.rivals.com/commitments/football/2023,2023,"https://images.rivals.com/image/upload/f_auto,q_auto,t_new_profile/semvke0hbwhxrumyeouv","https://images.rivals.com/image/upload/f_auto,q_auto,t_profile_shareable_card/semvke0hbwhxrumyeouv",verbal,video/3/13062000/5fd689e5d4693c0b6c939b65,hudl,18
240122,240122,Dylan,Rogers,LB,3,https://n.rivals.com/content/prospects/2023/dylan-rogers-240122,https://n.rivals.com/content/prospects/2023/dylan-rogers-240122,76.0,230,False,False,Nebraska,https://s.yimg.com/xe/i/us/sp/v/ncaaf/teams/20131113/84/300x300/nnd.png,"Cypress, TX",Dylan Rogers,Cypress Woods,"B. Ruud, B. Applewhite",,6,4,"['https://images.rivals.com/image/upload/f_auto,q_auto/renny385uat6b1n8exoi', 'https://images.rivals.com/image/upload/f_auto,q_auto/nbw9vonycdby2k2eyxde', 'https://images.rivals.com/image/upload/f_auto,q_auto/zsigxgg3x3zzyju4tkvm']",,False,,Cypress,Cypress Woods,Football,Texas,TX,"Cypress, TX",Inside Linebacker,5.7,23.0,Nebraska,7/5/2022,https://s.yimg.com/xe/i/us/sp/v/ncaaf/teams/20131113/84/300x300/nnd.png,ILB,https://nebraska.rivals.com/commitments/football/2023,2023,"https://images.rivals.com/image/upload/f_auto,q_auto,t_new_profile/jngmucgypgkj0s4ioxjw","https://images.rivals.com/image/upload/f_auto,q_auto,t_profile_shareable_card/jngmucgypgkj0s4ioxjw",verbal,video/3/13110874/61a454f0d225a10a449ee0dc,hudl,22
268139,268139,Tackett,Curtis,LB,4,https://n.rivals.com/content/prospects/2023/tackett-curtis-268139,https://n.rivals.com/content/prospects/2023/tackett-curtis-268139,75.0,220,,,USC,https://s.yimg.com/xe/i/us/sp/v/ncaaf/teams/20131113/84/300x300/uub.png,"Many, LA",Tackett Curtis,Many,,,6,3,"['https://images.rivals.com/image/upload/f_auto,q_auto/hqvbabcvnihnjwjaajyl', 'https://images.rivals.com/image/upload/f_auto,q_auto/vlwnq080bgsz0nqwhzhe', 'https://images.rivals.com/image/upload/f_auto,q_auto/qzucpdpcivztgkngifzz']",,False,,Many,Many,Football,Louisiana,LA,"Many, LA",Inside Linebacker,5.9,62.0,USC,7/18/2022,https://s.yimg.com/xe/i/us/sp/v/ncaaf/teams/20131113/84/300x300/uub.png,ILB,https://USC.rivals.com/commitments/football/2023,2023,"https://images.rivals.com/image/upload/f_auto,q_auto,t_new_profile/hdbrcbha95d3dc0b38ri","https://images.rivals.com/image/upload/f_auto,q_auto,t_profile_shareable_card/hdbrcbha95d3dc0b38ri",verbal,video/3/13130316/5fefd07f23526714845bebf4,hudl,2
259304,259304,Tre,Edwards,LB,4,https://n.rivals.com/content/prospects/2023/tre-edwards-259304,https://n.rivals.com/content/prospects/2023/tre-edwards-259304,74.0,215,,,UCLA,https://s.yimg.com/xe/i/us/sp/v/ncaaf/teams/20131113/84/300x300/uua.png,"Chula Vista, CA",Tre Edwards,Mater Dei Catholic,K. Norton Jr.,,6,2,"['https://images.rivals.com/image/upload/f_auto,q_auto/vv5fnfpxgbsku0wcdao3', 'https://images.rivals.com/image/upload/f_auto,q_auto/f7tgfxt8o2dcbtx5alvf']",,False,,Chula Vista,Mater Dei Catholic,Football,California,CA,"Chula Vista, CA",Inside Linebacker,5.8,64.0,UCLA,5/27/2022,https://s.yimg.com/xe/i/us/sp/v/ncaaf/teams/20131113/84/300x300/uua.png,ILB,https://ucla.rivals.com/commitments/football/2023,2023,"https://images.rivals.com/image/upload/f_auto,q_auto,t_new_profile/usxalvhqjy43wu9mc1qp","https://images.rivals.com/image/upload/f_auto,q_auto,t_profile_shareable_card/usxalvhqjy43wu9mc1qp",verbal,video/3/12221126/608335491763531c301bfec4,hudl,13
259670,259670,Semaj,Bridgeman,LB,4,https://n.rivals.com/content/prospects/2023/semaj-bridgeman-259670,https://n.rivals.com/content/prospects/2023/semaj-bridgeman-259670,73.0,220,,,Michigan,https://s.yimg.com/dh/ap/default/151016/michigan.png,"Philadelphia, PA",Semaj Bridgeman,Imhotep Inst Charter School,,,6,1,"['https://images.rivals.com/image/upload/f_auto,q_auto/hul60qijzzvwhovddvkx']",,False,,Philadelphia,Imhotep Inst Charter School,Football,Pennsylvania,PA,"Philadelphia, PA",Inside Linebacker,5.8,29.0,Michigan,7/1/2022,https://s.yimg.com/dh/ap/default/151016/michigan.png,ILB,https://Michigan.rivals.com/commitments/football/2023,2023,"https://images.rivals.com/image/upload/f_auto,q_auto,t_new_profile/kotekrycyzqiqqnd00ku","https://images.rivals.com/image/upload/f_auto,q_auto,t_profile_shareable_card/kotekrycyzqiqqnd00ku",verbal,video/3/13138461/61c93cca041e4b0588b57fd9,hudl,12
